Serial No._ETE,Job Title_ETE,Job Description_ETE,Skillset_ETE,Projects_ETE
29,Skill Development Program Manager,Designs and manages programs focused on specific vocational or professional skill acquisition.,"Program management, Curriculum design, Communication, Evaluation, Planning","Program design, Implementation, Skills assessment, Dashboard, Report"
30,Learning Community Manager,Builds and fosters online communities to support peer-to-peer learning and engagement.,"Community management, Communication, Engagement, Analytics, Tools","Community setup, Engagement strategy, Content moderation, Dashboard, Feedback"
31,EdTech Growth Manager,"Drives user acquisition, retention, and scaling strategies for educational platforms.","Growth marketing, Analytics, Funnel optimization, Strategy, Tools","Growth plan, Funnel analysis, Marketing campaign, Dashboard, Analysis"
32,Education CRM Specialist,Manages student/learner relationships using CRM systems to improve retention and personalization.,"CRM tools, Automation, Data analysis, Communication, Reporting","CRM system setup, Learner segmentation, Automation workflows, Dashboard, Analysis"
33,Digital Assessment Analyst,Analyzes assessment data to refine and improve the efficacy of evaluation systems.,"Data analysis, Assessment design, Statistics, Reporting, Tools","Assessment system refinement, Data analysis, Dashboard, Optimization, Report"
34,EdTech Sales Specialist,Promotes and sells educational products and tech solutions to institutions or individual learners.,"Sales, Communication, Product knowledge, CRM, Negotiation","Sales strategy, CRM management, Prospect outreach, Performance analysis, Report"
35,AR/VR Learning Developer,Builds immersive learning experiences using Augmented Reality and Virtual Reality technologies.,"AR/VR tools, Programming, 3D design, UX, Creativity","VR learning app, AR instructional content, Prototype build, Testing, Analysis"
36,Education Researcher,"Conducts empirical research on teaching methods, cognitive science, and educational outcomes.","Research, Data analysis, Writing, Statistics, Communication","Formal research study, Deep data analysis, Academic paper, Learning model, Case study"
37,Instructional Technologist,Assists educators in the successful integration of technology into their instructional practices.,"EdTech tools, Training, Technical support, Communication, Analysis","Tech integration support, Training facilitation, Dashboard, Support system, Report"
38,Learning Experience Analyst,Evaluates and improves the user experience within diverse learning environments.,"UX, Data analysis, User research, Tools, Reporting","Experience analysis, Dashboard, Optimization, Testing, Report"
39,Educational Podcast Producer,"Creates, edits, and manages educational audio content and podcast series.","Audio editing, Content creation, Storytelling, Marketing, Tools","Podcast series production, Audio editing, Script development, Publishing, Analysis"
40,Digital Literacy Trainer,Educates learners on essential digital skills and the safe/effective use of technology.,"Teaching, Communication, Tools, Curriculum development, Evaluation","Training program, Educational materials, Skills assessment, Dashboard, Feedback"
41,OER Specialist,Develops and manages Open Educational Resources to improve accessibility and affordability.,"Content creation, Licensing/Copyright, Education domain, Research, Tools","OER content creation, Repository management, Strategy, Analysis, Report"
42,Microlearning Designer,"Designs short, highly focused learning modules for efficient knowledge delivery.","Instructional design, Content creation, UX, Tech tools, Analysis","Microlearning course design, Content creation, Testing, Dashboard, Feedback"
43,Academic Data Engineer,Builds and maintains data pipelines and warehouses for educational institutions.,"ETL processes, SQL/Python, Data pipelines, Cloud architecture, Analytics","Data pipeline architecture, Warehouse design, Dashboard, Integration, Report"
44,Learning App Developer,Develops mobile or web-based applications specifically for learning purposes.,"Programming, UI design, API integration, Databases, UX","Learning app development, Feature roadmap, Backend setup, Testing, Deployment"
45,Student Success Manager,Ensures students achieve their learning goals by managing their progress and support needs.,"Communication, Data analysis, Support services, CRM, Strategy","Personalized success plan, Tracking system, Dashboard, Feedback management, Report"
46,AI in Education Specialist,Implements AI-driven tools to personalize learning and automate administrative tasks.,"AI/ML, Data analysis, EdTech, Programming, Research","AI tutor implementation, Recommendation system, Chatbot development, Dashboard, Learning model"
47,Educational Platform Tester (QA),Conducts quality assurance and usability testing for educational platforms.,"Testing methodologies, QA tools, UX, Reporting, Analysis","Testing plan, Bug reporting, UX testing, Dashboard, Report"
48,EdTech Operations Manager,Manages the day-to-day operational processes of educational platforms and service delivery.,"Operations management, Business processes, Analytics, Communication, Tools","Operations planning, Workflow design, Dashboard, Optimization, Report"
49,Director of L&D,Leads large-scale training and development initiatives within organizational structures.,"Leadership, Training strategy, Strategy, Analytics, Communication","L&D strategy, Training plan, Dashboard, Evaluation metrics, Report"
50,Chief Learning Officer (CLO),Leads the overall learning innovation and strategy for an organization or EdTech enterprise.,"Leadership, Strategy, Education domain, Innovation, Decision-making","Learning strategy roadmap, KPI system, Innovation plan, Dashboard, Executive report"
