serial nuber_ITS,JOB_TITLE_ITS,JOB_ DES_ITS,SKILL_ITS,PROJECT_ITS
33,Release Manager,"Orchestrates the software release cycle. Coordinates between Dev, QA, and Ops to ensure that deployments are scheduled, tested, and rolled back if failures occur.","Git, CI/CD Pipelines, Change Management, Project Management.",1. Deployment Checklist Bot
,,,,
,,,,2. Release Versioning System
,,,,
,,,,3. Post-Mortem Report Template
34,System Analyst,"Translates ""Business Talk"" into ""Tech Talk."" Analyzes existing workflows to recommend software improvements and creates detailed technical specifications for developers.","UML, SQL, Documentation, Requirement Gathering.",1. SRS (Spec) Document
,,,,
,,,,2. System Architecture Diagram
,,,,
,,,,3. Gap Analysis Report
35,Search Engineer,"Specializes in information retrieval. Builds high-speed search engines, optimizes ranking algorithms (relevancy), and manages large-scale indexing.","Elasticsearch, Solr, Lucene, Python, Vector Search.",1. E-commerce Search Engine
,,,,
,,,,2. Autocomplete API
,,,,
,,,,3. News Ranking Algorithm
36,Compiler Engineer,"Works at the deepest layer of tech. Builds compilers, interpreters, and transpilers that convert high-level code into machine instructions.","C/C++, LLVM, Formal Language Theory, Assembly.",1. Custom DSL (Language)
,,,,
,,,,2. Syntax Tree Visualizer
,,,,
,,,,3. Basic Code Linter
37,Firmware Engineer,"Writes software that is embedded directly into hardware ""read-only"" memory. Focuses on extreme memory efficiency and real-time responsiveness.","C, Assembly, RTOS, Hardware Debugging (JTAG).",1. Microcontroller Bootloader
,,,,
,,,,2. Sensor Driver (I2C/SPI)
,,,,
,,,,3. Low-power Sleep Manager
38,AdTech Engineer,"Builds high-throughput systems for the digital ad industry. Focuses on ""Real-Time Bidding"" (RTB), tracking pixels, and processing billions of events per day.","Java/Go, Kafka, Redis, High-Concurreny Design.",1. Real-time Click Tracker
,,,,
,,,,2. Ad Budget Pacing Engine
,,,,
,,,,3. Attribution Modeling Tool
39,FinTech Developer,"Builds highly secure financial systems. Handles ledger management, payment gateway integrations, and fraud detection while ensuring regulatory compliance.","Java/C#, Encryption, PCI-DSS, Microservices.",1. Secure Payment Gateway
,,,,
,,,,2. Double-Entry Ledger
,,,,
,,,,3. Fraud Detection Rule-Engine
40,EdTech Developer,"Designs platforms for learning. Focuses on Video-on-Demand (VoD), interactive assessments, and SCORM compliance for educational tracking.","React/Node.js, AWS S3/CloudFront, Video Processing.",1. Learning Management System
,,,,
,,,,2. Quiz Engine
,,,,
,,,,3. Peer-Review Platform
41,HealthTech Developer,"Works on software for the medical field. Focuses on data privacy (HIPAA), electronic health records (EHR), and integrating with medical hardware.","Python/Java, HL7/FHIR Standards, Cybersecurity, SQL.",1. Patient Portal
,,,,
,,,,2. Telemedicine App
,,,,
,,,,3. Medical Imaging Viewer
42,Automation Engineer,"Focuses on automating ""manual"" business tasks using code and APIs. Connects disconnected apps (like CRM to Finance) to create seamless workflows.","Python, Zapier/n8n, API Integration, Webhooks.",1. Automated Invoice Processor
,,,,
,,,,2. Lead Gen Scraping Bot
,,,,
,,,,3. Multi-platform Sync Tool
43,RPA Developer,"Uses ""Software Robots"" (UiPath/BluePrism) to mimic human UI interactions. Automates legacy systems that don't have modern APIs.","UiPath, Automation Anywhere, VB.NET, OCR Tools.",1. Legacy Data Entry Bot
,,,,
,,,,2. Email Invoice Extractor
,,,,
,,,,3. Automated HR Onboarding
44,Digital Forensics Expert,"Investigates cybercrime post-incident. Recovers deleted data, analyzes logs to trace hacker activity, and prepares evidence for legal proceedings.","EnCase, FTK, Memory Forensics, Python, File Systems.",1. Disk Image Analysis
,,,,
,,,,2. Malware Behavior Report
,,,,
,,,,3. Deleted File Recovery Lab
45,IT Trainer,"Educates the next generation of tech talent. Creates curriculum, designs labs, and teaches complex technical concepts to corporate teams or students.","Technical Writing, Curriculum Design, Communication.",1. Full Course Syllabus
,,,,
,,,,2. Interactive Lab Environment
,,,,
,,,,3. Video Tutorial Series
46,Open Source Contributor,"A professional specialized in maintaining public codebases. Manages community pull requests, ensures code quality, and secures open-source dependencies.","Git, Peer Reviews, Project Management, Technical Writing.",1. Major Library Contribution
,,,,
,,,,2. Open Source Bug Fixes
,,,,
,,,,3. Feature Documentation
47,Freelance Developer,"Operates as a ""one-person agency."" Handles client acquisition, scoping, building full-stack apps, and managing the business/billing side of dev.","Full Stack Skills, Business Logic, Marketing, UI/UX.",1. Client Portfolio Website
,,,,
,,,,2. Custom SaaS MVP
,,,,
,,,,3. Freelance Invoicing Tool
48,Startup CTO,"The technical visionary for a new company. Balances building an MVP quickly with the long-term goal of building a scalable, secure architecture.","System Design, Leadership, Budgeting, Full Stack.",1. Scalable MVP Launch
,,,,
,,,,2. Engineering Team Handbook
,,,,
,,,,3. Tech Scalability Roadmap
49,IT Auditor,"Independent reviewer of a company's tech. Checks for security holes, financial inaccuracies in software, and compliance with laws like GDPR or SOC2.","Risk Management, Compliance Frameworks, SQL.",1. SOC2 Compliance Checklist
,,,,
,,,,2. IT Risk Assessment Report
,,,,
,,,,3. Internal Security Audit
50,IT Project Manager,"The glue that keeps projects on track. Manages timelines, budgets, and stakeholders using frameworks like PMP or Agile to ensure on-time delivery.","PMP/Agile, Jira/Asana, Budgeting, Communication.",1. Project Management Plan
,,,,
,,,,2. Resource Allocation Sheet
,,,,
,,,,3. Risk Mitigation Strategy
