Serial No. camp,Job Title_camp,Job Description_camp,Skillset_camp,Projects_camp
11,Social Media Video Editor,"Specializes in fast-paced, high-engagement editing for TikTok, Reels, and YouTube Shorts.","Editing tools, Social trends, Storytelling, Speed editing, Creativity","Short-form videos, Reels series, Editing styles, Trend analysis, Portfolio"
12,Art Director,Manages the visual style and aesthetic consistency of a project to ensure it meets the client’s brand vision.,"Design, Leadership, Creativity, Branding, Communication","Visual campaign, Design system, Mood board, Portfolio, Audit report"
13,UI Visual Designer,"Focuses on the aesthetic layer of digital interfaces, ensuring apps and sites are both beautiful and intuitive.","UI design, Figma, Color theory, Typography, UX basics","App UI design, Design system, Prototype, Interface redesign, Portfolio"
14,Podcast Producer,"Handles the technical and narrative production of audio programs, from recording to final distribution.","Audio editing, Storytelling, Production, Publishing tools, Communication","Podcast series, Episode editing, Script preparation, Publishing, Listener analytics"
15,Creative Copywriter,"Writes high-conversion, brand-aligned messaging for advertising campaigns and digital storytelling.","Writing, Creativity, Branding, Storytelling, Research","Ad copy, Brand story, Campaign messaging, Web content, Portfolio"
16,Cinematographer,Manages the camera and lighting teams to define the visual look and mood of films and digital video.,"Camera operation, Lighting design, Composition, Creativity, Tech tools","Short film shoot, Lighting setup, Cinematography reel, Visual style guide, Portfolio"
17,VFX Artist,"Generates complex digital elements, effects, and composited scenes for live-action or animated media.","VFX software (Nuke/Houdini), Animation, Creativity, Compositing, Design","VFX shot project, Scene editing, Compositing, Effects library, Portfolio"
18,Storyboard Artist,Provides the visual roadmap for production by sketching out key sequences and camera angles.,"Drawing, Storytelling, Composition, Creativity, Visualization tools","Narrative storyboard, Scene sketch, Sequence mapping, Animation plan, Portfolio"
19,Social Media Strategist,Develops and executes data-backed strategies to build community and drive growth on social channels.,"Strategy, Content planning, Analytics, Trends, Campaign management","Content plan, Editorial calendar, Campaign execution, Engagement dashboard, Analysis report"
20,Media Planner,Orchestrates media buying and placement to maximize audience reach within a specific budget.,"Media planning, Data analytics, Strategy, Budgeting, Communication","Media plan development, Budget allocation, Campaign tracking, Performance analysis, Media report"
21,Brand Storyteller,"Crafts the emotional narrative behind a brand, connecting corporate values with consumer experiences.","Storytelling, Writing, Branding, Creativity, Research","Brand story manifesto, Campaign narrative, Content series, Keynote script, Portfolio"
22,Digital Illustrator,"Produces custom digital imagery for editorial, commercial, or creative branding projects.","Illustration software, Drawing, Creativity, Design, Color theory","Illustration series, Character design, Digital artwork, Poster design, Portfolio"
23,Music Producer,Composes and produces original music scores and audio tracks for advertising and media.,"DAW (Ableton/Logic), Audio tools, Creativity, Sound mixing, Composition","Original music track, Mixing/Mastering project, Audio soundscape, Composition, Portfolio"
24,Video Content Strategist,Aligns video output with business goals to ensure maximum engagement across digital channels.,"Strategy, Video production, Analytics, Content, Scheduling","Video roadmap, Campaign framework, Performance dashboard, Audience analysis, Strategy report"
25,Film Director,"Provides artistic guidance and creative vision for film productions, from pre-production to final cut.","Direction, Storytelling, Leadership, Creativity, Communication","Short film direction, Script development, Directing reel, Production oversight, Portfolio"
26,Lighting Designer,"Engineers lighting setups to establish visual mood, highlight subjects, and define production aesthetics.","Lighting design, Equipment handling, Creativity, Tech setup, Analysis","Lighting setup design, Scene mood design, Experimental lighting test, Portfolio, Technical report"
27,Content Editor,"Ensures high standards of quality, accuracy, and tone across all written and visual content.","Editing, Writing, Attention to detail, Communication, Publishing tools","Content review project, Editorial enhancement, Content quality improvement, Quality report, Portfolio"
28,Creative Strategist (Ads),Bridges data insights with creative concepts to develop high-performing advertising campaigns.,"Strategy, Creativity, Marketing, Writing, Data analysis","Ad campaign concept, Campaign creative strategy, Ad storyboard, Performance analysis, Strategy report"
29,Multimedia Artist,"Integrates text, audio, and visuals to build interactive experiences for digital audiences.","Multimedia tools, Design, Creativity, Editing, Storytelling","Multimedia interactive project, Content integration, Editing showcase, Portfolio, Analysis report"
30,YouTube Channel Mgr,"Optimizes channel performance through SEO, content scheduling, and deep audience analytics.","YouTube SEO, Content planning, Analytics, Strategy, Editing","Channel setup/refresh, Content scheduling plan, Analytics deep-dive, Growth strategy, Channel dashboard"
31,Creative Producer,"Facilitates the execution of creative projects by managing resources, timelines, and talent.","Project management, Creativity, Communication, Planning, Tools","Production roadmap, Project workflow, Production dashboard, Efficiency analysis, Project report"
32,Fashion Media Stylist,Curates visual styles and aesthetics for high-end fashion photoshoots and video content.,"Styling, Creativity, Fashion knowledge, Communication, Planning","Fashion styling project, Photoshoot direction, Lookbook concept, Portfolio, Stylist report"
33,VFX Supervisor,Directs the VFX team and process to ensure visual quality and technical alignment with the project.,"VFX pipeline, Leadership, Tools, Creativity, Planning","VFX production plan, Team supervision, Workflow optimization, Project dashboard, Final quality report"
34,Digital Art Director,Leads digital design initiatives for major online campaigns and branded digital platforms.,"Design, Leadership, Creativity, Branding, Digital tools","Campaign design system, Digital campaign concept, Visual direction, Portfolio, Art direction report"
35,Podcast Host,Engages audiences through live or recorded audio conversation and narrative storytelling.,"Communication, Storytelling, Voice performance, Content, Research","Podcast episode series, Interview script, Audio recording project, Podcast publishing, Audience analysis"
36,Creative Technologist,"Innovates at the intersection of code and art, building interactive installations and digital tools.","Programming, Creativity, Design, Tech frameworks, Innovation","Interactive media experience, Prototype build, Creative experiment, Portfolio, Technical analysis"
37,Photo Editor,Refines and retouches photography to meet specific professional standards for media publications.,"Editing tools, Color correction, Creativity, Detail, Retouching","Photo editing project, Advanced retouching series, Portfolio, Before/After comparison, Quality report"
38,Documentary Filmmaker,Conducts research and captures real-life footage to create educational or narrative-driven documentaries.,"Storytelling, Research, Filming, Editing, Communication","Full documentary production, Research dossier, Narrative script, Film editing, Portfolio"
39,Event Media Producer,Captures and produces multimedia content live during corporate or entertainment events.,"Event production, Planning, Communication, Tools, Creativity","Event coverage plan, Live media capture, Event content package, Event dashboard, Production report"
40,Animation Director,"Supervises the animation process to maintain visual style, pacing, and storytelling impact.","Animation, Leadership, Creativity, Tech tools, Planning","Animation project oversight, Sequence storyboard, Director's vision, Portfolio, Animation report"
41,Social Media Video Editor,Specializes in rapid production of highly optimized social media video content.,"Editing, Trend monitoring, Creativity, Tools, Speed/Efficiency","Social video series, Viral-style edit, Portfolio, Performance analysis, Content report"
42,Creative Marketing Prod.,Merges artistic production with marketing KPIs to deliver impactful promotional media.,"Marketing, Production, Strategy, Creativity, Project tools","Campaign production plan, Creative execution, Promotional package, Marketing dashboard, Impact report"
43,Digital Media Analyst,Uses data to evaluate the impact and performance of digital content assets.,"Data analysis, Analytics software, Reporting, Strategy, Content knowledge","Performance dashboard, Media analysis, KPI tracking, Optimization insights, Media report"
44,Creative Content Manager,"Owns the content lifecycle, ensuring brand voice is consistent across all media platforms.","Content creation, Management, Strategy, Communication, Tools","Content roadmap, Content workflow management, Brand consistency dashboard, Content analysis, Manager report"
45,Audio Engineer,Manages the technical recording and mastering process to ensure sonic perfection in media.,"Audio software, Sound mixing, Recording techniques, Creativity, Sonic mastery","Audio recording project, Professional mixing/mastering, Audio engineering portfolio, Quality analysis, Report"
46,Interactive Media Designer,Designs and builds interactive experiences for web and digital installations.,"Design, Programming, UX principles, Creativity, Tools","Interactive installation/web project, UX prototype, Technical execution, Portfolio, Analysis report"
47,Creative Project Manager,"Ensures all creative work is delivered on time, within budget, and to the highest quality.","Project management, Communication, Planning, Tools, Leadership","Project timeline/plan, Resource workflow, Delivery dashboard, Performance analysis, Final report"
48,Media Operations Manager,Streamlines the technical and operational backend of media production firms.,"Operations, Management, Media logistics, Analytics, Communication","Operations strategy plan, Production workflow optimization, Operations dashboard, Performance analysis, Report"
49,Head of Creative,"Oversees the entire creative department, aligning visual and narrative output with business growth.","Leadership, Strategy, Creativity, Management, Decision-making","Creative department strategy, Campaign master plan, Department dashboard, Growth project, Executive report"
50,Chief Creative Officer,"The ultimate authority on brand identity, innovation, and creative strategy across the entire organization.","Leadership, Global strategy, Creativity, Branding, Executive decision-making","Enterprise creative strategy, Brand vision framework, Innovation KPI system, Master campaign oversight, C-suite report"
